run,type,module,name,attrname,attrvalue,value
General-1-20191217-18:54:37-6936,runattr,,,configname,General,
General-1-20191217-18:54:37-6936,runattr,,,datetime,20191217-18:54:37,
General-1-20191217-18:54:37-6936,runattr,,,experiment,General,
General-1-20191217-18:54:37-6936,runattr,,,inifile,omnetpp.ini,
General-1-20191217-18:54:37-6936,runattr,,,iterationvars,,
General-1-20191217-18:54:37-6936,runattr,,,iterationvarsf,,
General-1-20191217-18:54:37-6936,runattr,,,measurement,,
General-1-20191217-18:54:37-6936,runattr,,,network,my_PQ,
General-1-20191217-18:54:37-6936,runattr,,,processid,6936,
General-1-20191217-18:54:37-6936,runattr,,,repetition,1,
General-1-20191217-18:54:37-6936,runattr,,,replication,#1,
General-1-20191217-18:54:37-6936,runattr,,,resultdir,results,
General-1-20191217-18:54:37-6936,runattr,,,runnumber,1,
General-1-20191217-18:54:37-6936,runattr,,,seedset,1,
General-1-20191217-18:54:37-6936,param,,,**.source.interArrivalTime,exponential(1 s),
General-1-20191217-18:54:37-6936,param,,,**.source1.interArrivalTime,exponential(2 s),
General-1-20191217-18:54:37-6936,param,,,**.source.numJobs,200,
General-1-20191217-18:54:37-6936,param,,,**.source.jobType,0,
General-1-20191217-18:54:37-6936,param,,,**.source1.numJobs,100,
General-1-20191217-18:54:37-6936,param,,,**.source1.jobType,1,
General-1-20191217-18:54:37-6936,param,,,**.delay.delay,"6.5 s + normal(.3 s, .1 s)",
General-1-20191217-18:54:37-6936,param,,,**.delay1.delay,"12.5 s + normal(.3 s, .1s)",
General-1-20191217-18:54:37-6936,param,,,**.delay2.delay,"0.5 s +  normal(.3 s, .1s)",
General-1-20191217-18:54:37-6936,param,,,**.delay3.delay,"0.5 s +  normal(.3 s, .1s)",
General-1-20191217-18:54:37-6936,param,,,**.server.serviceTime,exponential(.01 s),
General-1-20191217-18:54:37-6936,param,,,**.server1.serviceTime,exponential(.01 s),
General-2-20191217-18:54:57-4552,runattr,,,configname,General,
General-2-20191217-18:54:57-4552,runattr,,,datetime,20191217-18:54:57,
General-2-20191217-18:54:57-4552,runattr,,,experiment,General,
General-2-20191217-18:54:57-4552,runattr,,,inifile,omnetpp.ini,
General-2-20191217-18:54:57-4552,runattr,,,iterationvars,,
General-2-20191217-18:54:57-4552,runattr,,,iterationvarsf,,
General-2-20191217-18:54:57-4552,runattr,,,measurement,,
General-2-20191217-18:54:57-4552,runattr,,,network,my_PQ,
General-2-20191217-18:54:57-4552,runattr,,,processid,4552,
General-2-20191217-18:54:57-4552,runattr,,,repetition,2,
General-2-20191217-18:54:57-4552,runattr,,,replication,#2,
General-2-20191217-18:54:57-4552,runattr,,,resultdir,results,
General-2-20191217-18:54:57-4552,runattr,,,runnumber,2,
General-2-20191217-18:54:57-4552,runattr,,,seedset,2,
General-2-20191217-18:54:57-4552,param,,,**.source.interArrivalTime,exponential(1 s),
General-2-20191217-18:54:57-4552,param,,,**.source1.interArrivalTime,exponential(2 s),
General-2-20191217-18:54:57-4552,param,,,**.source.numJobs,200,
General-2-20191217-18:54:57-4552,param,,,**.source.jobType,0,
General-2-20191217-18:54:57-4552,param,,,**.source1.numJobs,100,
General-2-20191217-18:54:57-4552,param,,,**.source1.jobType,1,
General-2-20191217-18:54:57-4552,param,,,**.delay.delay,"6.5 s + normal(.3 s, .1 s)",
General-2-20191217-18:54:57-4552,param,,,**.delay1.delay,"12.5 s + normal(.3 s, .1s)",
General-2-20191217-18:54:57-4552,param,,,**.delay2.delay,"0.5 s +  normal(.3 s, .1s)",
General-2-20191217-18:54:57-4552,param,,,**.delay3.delay,"0.5 s +  normal(.3 s, .1s)",
General-2-20191217-18:54:57-4552,param,,,**.server.serviceTime,exponential(.01 s),
General-2-20191217-18:54:57-4552,param,,,**.server1.serviceTime,exponential(.01 s),
General-4-20191217-18:55:57-21432,runattr,,,configname,General,
General-4-20191217-18:55:57-21432,runattr,,,datetime,20191217-18:55:57,
General-4-20191217-18:55:57-21432,runattr,,,experiment,General,
General-4-20191217-18:55:57-21432,runattr,,,inifile,omnetpp.ini,
General-4-20191217-18:55:57-21432,runattr,,,iterationvars,,
General-4-20191217-18:55:57-21432,runattr,,,iterationvarsf,,
General-4-20191217-18:55:57-21432,runattr,,,measurement,,
General-4-20191217-18:55:57-21432,runattr,,,network,my_PQ,
General-4-20191217-18:55:57-21432,runattr,,,processid,21432,
General-4-20191217-18:55:57-21432,runattr,,,repetition,4,
General-4-20191217-18:55:57-21432,runattr,,,replication,#4,
